city,prop_desc,prop_size(lower),prop_price
london,"Cottage & Beauty Premises, Wexham Street, Stoke Poges, SL3 6NT","1,130 ",675000
london,"Unit D, West Side Business Centre , Flex Meadow, Harlow, CM195SR","3,623 ",570000
london,"Unit 3 East Burrowfield, Welwyn Garden City, AL7 4TB","1,993 ",397500
london,"4 West Burrowfield, Welwyn Garden City, AL7 4TW","3,320 ",499950
london,"St Andrew House, 46-48 St. Andrew Street, Hertford, SG14 1JA","1,280 ",725000
london,"Retail & Office Investment/Development Potential, 129 -133 High Street, Slough, SL1 1DH","3,318 ",1250000
london,"Unit 1, Slough Business Centre, Bristol Way, Stoke Gardens, Slough, SL1 3TD","3,784 ",640000
london,"7 Swallowfields, Welwyn Garden City, AL7 1JA","15,019 ",3500000
london,"Reavailable due to abortive negotiations - Pescod , Peascod St and High St, Windsor, SL4 1DT",552," 7,292 "
london,"Office Investment, Rapier House, 4-6 Crane Mead, Ware, SG13 9PW","8,253 ",1800000
london,"Unit 11 IO Centre , Salfords Industrial Estate, Salfords, RH1 5DY","4,806 ",775000
london,"150 High Street, Sevenoaks, TN13 1XE","3,550 ",950000
london,"Prominent Retail Investment, 143c Sevenoaks High Street, Sevenoaks, TN13 1UY","1,598 ",500000
london,"Unit 2 , 6 West Road , Harlow, CM20 2DU","1,086 ",420000
london,"warrenwood, Unit 2, , Warrenwood Industrial Estate, Stapleford, SG14 3NU","16,873 ",1500000
london,"37 Chertsey Road, Woking, GU21 5AJ","2,000 ",1200000
london,"4 Station Parade, Beaconsfield, HP9 2PB","1,083 ",750000
london,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",988," 5,335 "
london,"1 & 1a Station Road, Knebworth, SG3 6AP","1,468 ",380000
london,"Business Units For Sale , Power House, Higham Mead, Chesham, HP5 2AH","1,000 ",189950
london,"Power House, Power House, Higham Mead, HP5 2AH","2,030 ",340000
london,"Ground Floor Office With Flat Above, 5 The Parade, Burden Way, Guildford, GU2 9PB","1,378 ",395000
london,"23-25 Woodbridge Hill, Guildford, GU2 9AA","1,661 ",700000
london,"Weyford House, 21-22 Woodbridge Meadows, Guildford, GU1 1BA","8,083 ",750000
london,"Open Plan Office Suites Over 3 Floors, Leapale House, Leapale Lane, Guildford, GU1 4LY","2,008 ",800000
london,"90-92, London Road, East Grinstead, RH19 1EP","1,018 ",375000
london,"Open Storage Land With Gated Entrance, Hereford Close, Guildford, GU2 9TA","2,000 ",60000
london,"22 Queensway, Stevenage, SG1 1BS","1,234 ",265000
london,"1 Bessemer Drive, Stevenage, SG1 2DL","11,117 ",1650000
london,"13 Gateway 1000 Office In High Quality Business Pa, Stevenage, SG1 2FP","6,906 ",1375000
london,"106 High Street, Stevenage, SG1 3DW","2,916 ",450000
london,"Retail / Residential Investment, The Red Lion, 1 Frindsbury Road, Rochester, ME2 4TA","2,109 ",325000
london,"Retail Premises With 1st Floor Office, 29 High Street, High Wycombe, HP11 2AG","1,237 ",295000
london,"Office Building With Development Opportunity , 25 High Street, High Wycombe, HP11 2AG","2,637 ",595000
london,"A3 Unit Investment With Flats , 14 Pauls Row, High Wycombe, HP11 2HQ","1,964 ",1500000
london,"Retail Premises With Upper Floor, 117 - 119, Oxford Road, High Wycombe, HP11 2DN","1,988 ",595000
london,"Office Building In Courtyard Setting, Unit 11 Manor Courtyard, Hughenden Avenue, High Wycombe, HP13 5RE","1,065 ",295000
london,"Town Centre Office Building , 9 Buckingham Place, Bellfield Road, High Wycombe, HP13 5HW","2,770 ",695000
london,"Retail Premises With Flat Above, West End Street, High Wycombe, HP11 2JG","1,592 ",450000
london,"Office Building, May Suit Other Uses, WG House , 2 Cressex Road, High Wycombe, HP12 4TY","3,502 ",900000
london,"Burch House Lincolns Inn Office Village, Lincoln R, High Wycombe, HP12 3RE","1,874 ",450000
london,"Offices Suitable For Alternative Uses, 4 Newmans Row, Lincolns Inn Office Village, Lincoln Road, High Wycombe, HP12 3RE","2,034 ",457500
london,"Unit 8, M2M Park, Maidstone Road, Rochester, ME1 3DQ","3,046 ",520000
london,"Unit 9, M2M Park, Maidstone Road, Rochester, ME1 3DQ","3,431 ",585000
london,"Unit 10, M2M Park, Maidstone Road, Rochester, ME1 3DQ","3,417 ",580000
london,"Industrial / Warehouse and Offices, Unit B/C Cetec House, Lincoln Road, Cressex Business Park, High Wycombe, HP12 1RG","3,320 ",1850000
london,"Dunstable Road, Luton , Bedfordshire, LU1 1BW, Luton, LU1 1BW","1,000 ",750000
london,"Unit 11 Wedgwood Court Wedgwood Way, Stevenage, SG1 4QR","3,617 ",625000
london,"Retail Investment, Dobbe House, Ewhurst Road, Cranleigh, GU6 7AA","1,080 ",400000
london,"Sycamore House, 38-40 High Street, Cranleigh, GU6 8AT","6,032 ",1250000
london,"Retail Premises with Offices Above, 202- 204 High Street, Cranleigh, GU6 8RL","1,400 ",495000
london,"Retail Unit with Residential Above, 126 High Street, Camberley, GU15 2QN","1,448 ",350000
reading,"3rd Floor Office With Entry Phone System, Third Floor, 118-128 London Street, Reading, RG1 4SJ","1,340 ",340000
reading,"179a Oxford Road, Reading, RG1 7UZ","1,061 ",650000
reading,"Industrial / Warehouse For Sale , 68 St. Johns Road, Reading, RG4 5AL","10,596 ",625000
reading,"1-3 Trafford Road, Reading, RG1 8JP","12,805 ",1000000
reading,"Confidentially Available with B2 Planning Use -, Reading, RG2 0JT","10,560 ",1200000
reading,"HQ Style Business Premises With Car Parking, 448a, Basingstoke Road, Reading, RG2 0RX","26,692 ",4400000
reading,"Business Unit Suitable For A Variety Of Uses, 7-8 Bennet Road, Reading, RG2 0QX","17,987 ",3200000
reading,"Unit 1 Cutbush Court, Danehill, Reading, RG6 4UW",685," 2,100 "
reading,"Office Suites In Attractive Landscaped Grounds, Units 8 & 9 Theale Lakes, Moulden Way, Theale, RG7 4GB","2,050 ",225
reading,"Unit 1 Total Park, Station Road, Theale, RG7 4AA","19,618 ",225
reading,"Units 1 & 2 Total Park, Station Road, Theale, RG7 4PN","19,618 ",225
reading,"Unit 2 Total Park, Station Road, Theale, RG7 4PN","25,590 ",225
reading,"Shop With 1st Floor Living Accommodation , 42 Station Road, Wokingham, RG40 2AE","1,721 ",500000
reading,"PLOT 1, PINEWOOD, TINTAGEL ROAD, Finchampstead, RG40 3JJ","8,712 ",650000
reading,"Unit 4 Campbell Court, Campbell Road, Bramley, RG26 5EG","2,067 ",225000
reading,"Mixed Use Business Premises, 115 Reading Road, Finchampstead, GU46 7LR","5,666 ",750000
reading,"Open Plan Office Suites Over Two Floors, Unit 3 Bacchus House, Calleva Park, Aldermaston, RG7 8EN",987," 1,975 "
reading,"Well Secured Warehouse Investment, Unit 8 Lane End Industrial Park, West Wycombe, HP14 3BY","4,632 ",435000
reading,"Retail Unit with Residential Above, 126 High Street, Camberley, GU15 2QN","1,448 ",350000
reading,"61 High Street, Odiham, RG29 1LF","2,552 ",560000
reading,"Office Building, May Suit Other Uses, WG House , 2 Cressex Road, High Wycombe, HP12 4TY","3,502 ",900000
reading,"Offices Suitable For Alternative Uses, 4 Newmans Row, Lincolns Inn Office Village, Lincoln Road, High Wycombe, HP12 3RE","2,034 ",457500
reading,"Burch House Lincolns Inn Office Village, Lincoln R, High Wycombe, HP12 3RE","1,874 ",450000
reading,"Industrial / Warehouse and Offices, Unit B/C Cetec House, Lincoln Road, Cressex Business Park, High Wycombe, HP12 1RG","3,320 ",1850000
reading,"Retail Premises With Flat Above, West End Street, High Wycombe, HP11 2JG","1,592 ",450000
reading,"A3 Unit Investment With Flats , 14 Pauls Row, High Wycombe, HP11 2HQ","1,964 ",1500000
reading,"Retail Premises With 1st Floor Office, 29 High Street, High Wycombe, HP11 2AG","1,237 ",295000
reading,"Office Building With Development Opportunity , 25 High Street, High Wycombe, HP11 2AG","2,637 ",595000
reading,"Town Centre Office Building , 9 Buckingham Place, Bellfield Road, High Wycombe, HP13 5HW","2,770 ",695000
reading,"Retail Premises With Upper Floor, 117 - 119, Oxford Road, High Wycombe, HP11 2DN","1,988 ",595000
reading,"For Sale - Former Natwest Property in Didcot, Oxfo, 124 Broadway, Didcot, OX11 8AD","1,452 ",200000
reading,"Detached Self Contained Offices, Alpha House, 9-11 Alexandra Road, Farnborough, GU14 6BU","4,141 ",975000
reading,"Reavailable due to abortive negotiations - Pescod , Peascod St and High St, Windsor, SL4 1DT",552," 7,292 "
reading,"Office Building In Courtyard Setting, Unit 11 Manor Courtyard, Hughenden Avenue, High Wycombe, HP13 5RE","1,065 ",295000
reading,"Unit 1, Slough Business Centre, Bristol Way, Stoke Gardens, Slough, SL1 3TD","3,784 ",640000
reading,"Retail & Office Investment/Development Potential, 129 -133 High Street, Slough, SL1 1DH","3,318 ",1250000
reading,"Former Travel Agents Suitable For A1 or A2 Use, 32 Union Street, Aldershot, GU11 1EW","2,849 ",425000
reading,"Lock up Shop for Sale, 83 High Street, Aldershot, GU11 1BY","1,813 ",300000
reading,"4 Station Parade, Beaconsfield, HP9 2PB","1,083 ",750000
reading,"Cottage & Beauty Premises, Wexham Street, Stoke Poges, SL3 6NT","1,130 ",675000
reading,"Unit 11, Chancerygate Business Centre, St. Mary’s Road, SL3 7FL","5,872 ",975000
reading,"Public House And Restaurant , King William IV, Hampden Road, Princes Risborough, HP27 0RU","2,475 ",825000
reading,"Bar With Parking & Garden To The Rear, The Bull Inn, Alton Road, Bentley, GU10 5JH","2,729 ",395000
reading,"68-68A Ridgway Road, Farnham, GU9 8NS","2,566 ",515000
reading,"Unit C5 Regent Park, Summerleys Road, Princes Risborough, HP27 9LE","3,307 ",545000
reading,"51-53 Church Street, Staines, TW18 4EN","1,012 ",625000
reading,"Unit 2, Polygon Business Centre, Blackthorne Road, SL3 0QT","2,849 ",780000
reading,"Office Building Suitable For A Variety Of Uses, 2-4 Packhorse Road, Gerrards Cross, SL9 7QE","6,895 ",3400000
reading,"37 Chertsey Road, Woking, GU21 5AJ","2,000 ",1200000
reading,"7 Vineyard Chambers, Vineyard, Abingdon, OX14 3PX","2,015 ",395000
reading,"98 Ock Street, Abingdon, OX14 5DH","1,012 ",200000
reading,"94 Ock Street, Abingdon, OX14 5DH","1,514 ",275000
reading,"8 Normandy Street, Alton, GU34 1BX","1,352 ",285000
reading,"Ground Floor Office With Flat Above, 5 The Parade, Burden Way, Guildford, GU2 9PB","1,378 ",395000
reading,"Open Storage Land With Gated Entrance, Hereford Close, Guildford, GU2 9TA","2,000 ",60000
reading,"Unit 21 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,796 ",450000
reading,"Unit 14 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,740 ",420000
reading,"Unit 24, Sarum Complex, Salisbury Road, UB8 2RZ","2,208 ",380000
reading,"Unit 6 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","3,332 ",650000
reading,"Unit 14 & 15 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","3,565 ",860000
reading,"Unit 15 Sarum Complex, Salisbury Road, Uxbridge, UB8 2RZ","1,825 ",440000
reading,"The Paddington Packet Boat, High Road, UB8 2HT","13,285 ",2200000
reading,"23-25 Woodbridge Hill, Guildford, GU2 9AA","1,661 ",700000
reading,"Weyford House, 21-22 Woodbridge Meadows, Guildford, GU1 1BA","8,083 ",750000
reading,"Unit 15J Wintersells Industrial Estate, Wintersells Road, Byfleet, KT14 7LF","1,497 ",190000
reading,"Towergate House, Cumberland Works, Wintersells Road, Byfleet, KT14 7LF","4,900 ",1100000
reading,"Towergate House, Wintersells Road, Byfleet, KT14 7LF",915," 4,900 "
reading,"Open Plan Office Suites Over 3 Floors, Leapale House, Leapale Lane, Guildford, GU1 4LY","2,008 ",800000
reading,"10-12 High Street, Weybridge, KT13 8AB","1,615 ",750000
reading,"41A Magdalen Road, Oxford, OX4 1RB","2,312 ",485000
reading,"Detached Self-Contained Offices, The Old Barn, Eashing, Godalming, GU7 2QF","1,429 ",595000
reading,"2 Beacon Mews, South Road, Weybridge, KT13 9DZ",786," 1,370 "
reading,"Business Units For Sale , Power House, Higham Mead, Chesham, HP5 2AH","1,000 ",189950
reading,"Power House, Power House, Higham Mead, HP5 2AH","2,030 ",340000
reading,"Ryefield Avenue, Uxbridge UB10, UB10 9DA, North Hillingdon, UB10 9DA","1,431 ",269950
reading,"7 Church Street, Godalming, GU7 1EQ","1,763 ",395000
reading,"Residential Development Opportunity, 110 Ockford Road, Godalming, GU7 1RG","4,000 ",895000
reading,"Old Church and Rotunda, The Burys, Godalming, GU7 1FN","9,185 ",1850000
reading,"150-152 Great South West Road, Hounslow, Heathrow, TW4 6NF","37,462 ",4500000
reading,"Willow Court, Minns Business Park, Oxford, OX2 0JB","22,526 ",8500000
