,city,prop_size(lower),out_code,prop_price
406,maidenhead,2552 ,RG29,560000
407,maidenhead,2250 ,WD6,849000
408,maidenhead,58000 ,WD6,12000000
409,maidenhead,1993 ,SW15,947000
410,maidenhead,3891 ,SW6,1999950
411,maidenhead,2416 ,KT23,675000
412,maidenhead,1745 ,NW11,2000000
413,maidenhead,9890 ,KT22,3150000
414,maidenhead,2477 ,SW18,1245000
415,maidenhead,1316 ,SW18,880000
416,maidenhead,5530 ,W8,5500000
417,maidenhead,1136 ,SW18,495000
418,maidenhead,2228 ,KT22,900000
419,maidenhead,1105 ,SW20,250000
420,maidenhead,4288 ,SW18,1400000
421,maidenhead,2566 ,GU9,515000
422,maidenhead,5573 ,SM4,675000
423,maidenhead,3439 ,SM4,625000
424,maidenhead,1728 ,SW18,925000
425,maidenhead,26174 ,SM4,3500000
426,maidenhead,1691 ,SW19,875000
427,maidenhead,2539 ,KT17,900000
428,maidenhead,987,RG7, 1975 
429,maidenhead,1397 ,SW19,725000
430,maidenhead,1429 ,GU7,595000
431,maidenhead,9185 ,GU7,1850000
432,maidenhead,1763 ,GU7,395000
433,maidenhead,40832 ,SW19,4500000
434,maidenhead,2729 ,GU10,395000
435,maidenhead,4000 ,GU7,895000
436,maidenhead,3870 ,EN5,1100000
437,maidenhead,988,GU5, 5335 
438,maidenhead,1785 ,SW12,1000000
439,maidenhead,1532 ,N20,1200000
440,maidenhead,4580 ,N20,1534000
441,maidenhead,9504 ,N20,3183840
442,maidenhead,1650 ,SM1,425000
443,maidenhead,1452 ,OX11,200000
444,maidenhead,2958 ,KT17,425000
445,maidenhead,2958 ,KT17,775000
446,maidenhead,1632 ,SW4,625000
447,maidenhead,1695 ,SW1P,3400000
448,maidenhead,2939 ,CR4,950000
449,maidenhead,1991 ,SM2,465000
450,maidenhead,15403 ,CR4,1400000
451,maidenhead,1503 ,SM7,335000
452,maidenhead,9128 ,CR4,850000
453,maidenhead,2325 ,CR4,395000
454,maidenhead,5690 ,SE1,2250000
455,maidenhead,7342 ,SW16,1575000
456,maidenhead,16932 ,SW16,2700000
457,maidenhead,2242 ,SM5,795000
458,maidenhead,1167 ,SM7,425000
459,maidenhead,9055 ,N8,1500000
460,maidenhead,1113 ,SE1,575000
461,maidenhead,3000 ,N4,7500000
462,maidenhead,4758 ,SM6,1000000
463,maidenhead,1403 ,N15,200000
464,maidenhead,2426 ,AL10,595000
465,maidenhead,12703 ,AL10,1850000
466,maidenhead,1000 ,SM6,525000
467,maidenhead,1511 ,CR0,475000
468,maidenhead,2887 ,AL10,480000
469,maidenhead,4504 ,CR0,995000
470,maidenhead,2015 ,OX14,395000
471,maidenhead,1375 ,CR7,475000
472,maidenhead,1400 ,GU6,495000
473,maidenhead,1347 ,CR7,800000
474,maidenhead,14448 ,LU5,2400000
475,maidenhead,1012 ,OX14,200000
476,maidenhead,1514 ,OX14,275000
477,maidenhead,6032 ,GU6,1250000
478,maidenhead,1080 ,GU6,400000
479,maidenhead,5288 ,CR0,1425000
480,maidenhead,2152 ,SE15,770000
481,maidenhead,2873 ,CR0,735000
482,maidenhead,2312 ,OX4,485000
483,maidenhead,1352 ,GU34,285000
484,maidenhead,1503 ,CR0,500000
485,maidenhead,1000 ,LU1,750000
486,maidenhead,37000 ,N18,6000000
487,maidenhead,1333 ,EN2,475000
488,maidenhead,3320 ,AL7,499950
489,maidenhead,2024 ,EN1,725000
490,maidenhead,1993 ,AL7,397500
491,maidenhead,10836 ,CR2,1250000
492,maidenhead,1665 ,CR2,450000
493,maidenhead,6781 ,CR0,2550000
494,maidenhead,1846 ,CR0,750000
495,maidenhead,1572 ,LU3,525000
496,maidenhead,3600 ,SE8,750000
497,maidenhead,2680 ,EN3,465000
498,maidenhead,1441 ,EN3,200000
499,maidenhead,5080 ,EN3,1000000
500,maidenhead,15019 ,AL7,3500000
501,maidenhead,1491 ,SE10,390000
502,maidenhead,20883 ,RH1,275
503,maidenhead,3071 ,GU27,875000
504,maidenhead,1800 ,GU27,425000
505,maidenhead,1760 ,GU27,495000
506,maidenhead,1238 ,GU27,450000
507,maidenhead,2407 ,EN3,355000
508,high,Industrial / Warehouse and Offices Unit B/C Cetec House Lincoln Road Cressex Business Park High Wycombe HP12 1RG,, 14697 
509,high,New Industrial/Warehouse Development Lincoln Road High Wycombe HP12 3RB,, 30056 
510,high,New Warehouse / Industrial / Trade Counter Units 40:40 Link Mill End Road/Chapel Lane High Wycombe HP12 4BG,, 30193 
511,high,Development of Warehouse/Industrial/Trade Units 40:40 Link Mill End Road/Chapel Lane High Wycombe HP12 4BG,, 30193 
512,high,40:40 Link Mill End Road Chapel Lane High Wycombe HP12 4BG,, 30193 
513,high,Eclipse Globe Park Parkway Marlow SL7 1YL,, 9424 
514,high,Duo Globe Business Park Fieldhouse Lane Marlow SL7 1HZ,, 46325 
515,high,Modern Office Buildings Buildings 1 - 4 The Courtyard Glory Park Wycombe  Loudwater HP10 0DG,, 12183 
516,high,Maidenhead Branch Units 1-4 The Courtyard Glory Park Loudwater HP10 0DG,, 12183 
517,high,Open Plan Office Suites With Disabled Lift Units 5 & 6 The Courtyard Glory Park  Wycombe Lane Loudwater HP10 0DG,, 3920 
518,high,Maidenhead Branch Units 5 & 6 The Courtyard Glory Park Loudwater HP10 0DG,, 3920 
519,high,For Sale - 3 REFURBISHED INDUSTRIAL 15715 - 3214 Wye Business Park High Wycombe HP10 0PF,, 32140 
