,prop_desc,prop_price(£),prop_size(lower) SQ Ft,prop_size(upper) SQ Ft
8987,"Development Site, Passfield Business Centre, Lynchborough Road, Passfield, Liphook, GU30 7SB",,261471 ,
8988,"Cliffords Yard, 1 Long Drive, South Ruislip, HA4 0HG",,"23,512 ",
8989,"Logistics City Andover, Plot 90, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"62,433 "," 487,605 "
8990,"Modern Business Unit, Unit 7 Towergate Business Centre, Coopers Place, Combe Lane, Godalming, GU8 5SY",199950.0,"1,488 ",
8991,"82 Godstow Road, Oxford, OX2 8NY",,"1,716 ",
8992,"Unique Office Premises Over Ground & 1st Floors, The Lodge Moore Place, Portsmouth Road, Esher, KT10 9LN",900000.0,"1,443 ",
8993,"Phase 3, Aston41, College Road North, Aston Clinton, HP22 5EZ",,"13,896 "," 54,639 "
8994,"Blueprint, Plot 35, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"27,580 "," 61,545 "
8995,"20 & 21, North Way, Andover, SP10 5AZ",,"12,216 "," 34,864 "
8996,"Plot 81a, Walworth Business Park, Livingstone Road, Andover, SP10 5LH",,"33,106 ",
8997,"PROMINENT OPEN STORAGE SITE FOR SALE OR TO LET , 343-345 Uxbridge Road, Southall, UB1 3ED",,"3,208 ",
8998,"Symmetry Park, Aston Clinton, College Road North, Aston Clinton, HP22 5EZ",,"55,000 "," 450,000 "
8999,"Industrial Property in Twickenham FOR SALE, Gould Road, Twickenham, TW2 6RT",,,
9000,"Snatch House, Farnham Road, Liss, GU33 6JZ",,"5,537 ",
9001,"Willow Court, Minns Business Park, Oxford, OX2 0JB",8500000.0,"22,526 ",
9002,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
9003,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
9004,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB",6372300.0,"23,172 ",
9005,"Land / Site For Sale, Weybeck Yard, Walldown Road, Whitehill, Kingsley, GU35 9AB",,"19,000 ",
9006,"Development Site, Passfield Business Centre, Lynchborough Road, Passfield, Liphook, GU30 7SB",,261471 ,
9007,"Cliffords Yard, 1 Long Drive, South Ruislip, HA4 0HG",,"23,512 ",
9008,"Logistics City Andover, Plot 90, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"62,433 "," 487,605 "
9009,"Modern Business Unit, Unit 7 Towergate Business Centre, Coopers Place, Combe Lane, Godalming, GU8 5SY",199950.0,"1,488 ",
9010,"82 Godstow Road, Oxford, OX2 8NY",,"1,716 ",
9011,"Unique Office Premises Over Ground & 1st Floors, The Lodge Moore Place, Portsmouth Road, Esher, KT10 9LN",900000.0,"1,443 ",
9012,"Phase 3, Aston41, College Road North, Aston Clinton, HP22 5EZ",,"13,896 "," 54,639 "
9013,"Blueprint, Plot 35, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"27,580 "," 61,545 "
9014,"20 & 21, North Way, Andover, SP10 5AZ",,"12,216 "," 34,864 "
9015,"Plot 81a, Walworth Business Park, Livingstone Road, Andover, SP10 5LH",,"33,106 ",
9016,"PROMINENT OPEN STORAGE SITE FOR SALE OR TO LET , 343-345 Uxbridge Road, Southall, UB1 3ED",,"3,208 ",
9017,"Symmetry Park, Aston Clinton, College Road North, Aston Clinton, HP22 5EZ",,"55,000 "," 450,000 "
9018,"Industrial Property in Twickenham FOR SALE, Gould Road, Twickenham, TW2 6RT",,,
9019,"Snatch House, Farnham Road, Liss, GU33 6JZ",,"5,537 ",
9020,"Land At Grainger Close, Northolt, UB5 4LF",900000.0,5229 ,
9021,"Willow Court, Minns Business Park, Oxford, OX2 0JB",8500000.0,"22,526 ",
9022,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
9023,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
9024,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB",6372300.0,"23,172 ",
9025,"Land / Site For Sale, Weybeck Yard, Walldown Road, Whitehill, Kingsley, GU35 9AB",,"19,000 ",
9026,"Development Site, Passfield Business Centre, Lynchborough Road, Passfield, Liphook, GU30 7SB",,261471 ,
9027,"Cliffords Yard, 1 Long Drive, South Ruislip, HA4 0HG",,"23,512 ",
9028,"Logistics City Andover, Plot 90, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"62,433 "," 487,605 "
9029,"Modern Business Unit, Unit 7 Towergate Business Centre, Coopers Place, Combe Lane, Godalming, GU8 5SY",199950.0,"1,488 ",
9030,"82 Godstow Road, Oxford, OX2 8NY",,"1,716 ",
9031,"Unique Office Premises Over Ground & 1st Floors, The Lodge Moore Place, Portsmouth Road, Esher, KT10 9LN",900000.0,"1,443 ",
9032,"Phase 3, Aston41, College Road North, Aston Clinton, HP22 5EZ",,"13,896 "," 54,639 "
9033,"Blueprint, Plot 35, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"27,580 "," 61,545 "
9034,"20 & 21, North Way, Andover, SP10 5AZ",,"12,216 "," 34,864 "
9035,"Plot 81a, Walworth Business Park, Livingstone Road, Andover, SP10 5LH",,"33,106 ",
9036,"PROMINENT OPEN STORAGE SITE FOR SALE OR TO LET , 343-345 Uxbridge Road, Southall, UB1 3ED",,"3,208 ",
9037,"Symmetry Park, Aston Clinton, College Road North, Aston Clinton, HP22 5EZ",,"55,000 "," 450,000 "
9038,"Industrial Property in Twickenham FOR SALE, Gould Road, Twickenham, TW2 6RT",,,
9039,"Snatch House, Farnham Road, Liss, GU33 6JZ",,"5,537 ",
9040,"Land At Grainger Close, Northolt, UB5 4LF",900000.0,5229 ,
9041,"Unit 2 Station Road, Liphook, GU30 7DS",,"11,970 ",
9042,"Willow Court, Minns Business Park, Oxford, OX2 0JB",8500000.0,"22,526 ",
9043,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
9044,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
9045,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB",6372300.0,"23,172 ",
9046,"Land / Site For Sale, Weybeck Yard, Walldown Road, Whitehill, Kingsley, GU35 9AB",,"19,000 ",
9047,"Development Site, Passfield Business Centre, Lynchborough Road, Passfield, Liphook, GU30 7SB",,261471 ,
9048,"Cliffords Yard, 1 Long Drive, South Ruislip, HA4 0HG",,"23,512 ",
9049,"Logistics City Andover, Plot 90, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"62,433 "," 487,605 "
9050,"Modern Business Unit, Unit 7 Towergate Business Centre, Coopers Place, Combe Lane, Godalming, GU8 5SY",199950.0,"1,488 ",
9051,"82 Godstow Road, Oxford, OX2 8NY",,"1,716 ",
9052,"Unique Office Premises Over Ground & 1st Floors, The Lodge Moore Place, Portsmouth Road, Esher, KT10 9LN",900000.0,"1,443 ",
9053,"Phase 3, Aston41, College Road North, Aston Clinton, HP22 5EZ",,"13,896 "," 54,639 "
9054,"Blueprint, Plot 35, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"27,580 "," 61,545 "
9055,"20 & 21, North Way, Andover, SP10 5AZ",,"12,216 "," 34,864 "
9056,"Plot 81a, Walworth Business Park, Livingstone Road, Andover, SP10 5LH",,"33,106 ",
9057,"PROMINENT OPEN STORAGE SITE FOR SALE OR TO LET , 343-345 Uxbridge Road, Southall, UB1 3ED",,"3,208 ",
9058,"Symmetry Park, Aston Clinton, College Road North, Aston Clinton, HP22 5EZ",,"55,000 "," 450,000 "
9059,"Industrial Property in Twickenham FOR SALE, Gould Road, Twickenham, TW2 6RT",,,
9060,"Snatch House, Farnham Road, Liss, GU33 6JZ",,"5,537 ",
9061,"Land At Grainger Close, Northolt, UB5 4LF",900000.0,5229 ,
9062,"Unit 2 Station Road, Liphook, GU30 7DS",,"11,970 ",
9063,"Olivers Court, Shepherds Spring Lane, Andover, SP10 1AE",,,
9064,"Willow Court, Minns Business Park, Oxford, OX2 0JB",8500000.0,"22,526 ",
9065,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
9066,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
9067,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB",6372300.0,"23,172 ",
9068,"Land / Site For Sale, Weybeck Yard, Walldown Road, Whitehill, Kingsley, GU35 9AB",,"19,000 ",
9069,"Development Site, Passfield Business Centre, Lynchborough Road, Passfield, Liphook, GU30 7SB",,261471 ,
9070,"Cliffords Yard, 1 Long Drive, South Ruislip, HA4 0HG",,"23,512 ",
9071,"Logistics City Andover, Plot 90, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"62,433 "," 487,605 "
9072,"Modern Business Unit, Unit 7 Towergate Business Centre, Coopers Place, Combe Lane, Godalming, GU8 5SY",199950.0,"1,488 ",
9073,"82 Godstow Road, Oxford, OX2 8NY",,"1,716 ",
9074,"Unique Office Premises Over Ground & 1st Floors, The Lodge Moore Place, Portsmouth Road, Esher, KT10 9LN",900000.0,"1,443 ",
9075,"Phase 3, Aston41, College Road North, Aston Clinton, HP22 5EZ",,"13,896 "," 54,639 "
9076,"Blueprint, Plot 35, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"27,580 "," 61,545 "
9077,"20 & 21, North Way, Andover, SP10 5AZ",,"12,216 "," 34,864 "
9078,"Plot 81a, Walworth Business Park, Livingstone Road, Andover, SP10 5LH",,"33,106 ",
9079,"PROMINENT OPEN STORAGE SITE FOR SALE OR TO LET , 343-345 Uxbridge Road, Southall, UB1 3ED",,"3,208 ",
9080,"Symmetry Park, Aston Clinton, College Road North, Aston Clinton, HP22 5EZ",,"55,000 "," 450,000 "
9081,"Industrial Property in Twickenham FOR SALE, Gould Road, Twickenham, TW2 6RT",,,
9082,"Snatch House, Farnham Road, Liss, GU33 6JZ",,"5,537 ",
9083,"Land At Grainger Close, Northolt, UB5 4LF",900000.0,5229 ,
9084,"Unit 2 Station Road, Liphook, GU30 7DS",,"11,970 ",
9085,"Olivers Court, Shepherds Spring Lane, Andover, SP10 1AE",,,
9086,"Development Opportunity, 25 Kings Road, Haslemere, GU27 2QA",425000.0,"1,800 ",
9087,"Willow Court, Minns Business Park, Oxford, OX2 0JB",8500000.0,"22,526 ",
9088,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
9089,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
9090,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB",6372300.0,"23,172 ",
9091,"Land / Site For Sale, Weybeck Yard, Walldown Road, Whitehill, Kingsley, GU35 9AB",,"19,000 ",
9092,"Development Site, Passfield Business Centre, Lynchborough Road, Passfield, Liphook, GU30 7SB",,261471 ,
9093,"Cliffords Yard, 1 Long Drive, South Ruislip, HA4 0HG",,"23,512 ",
9094,"Logistics City Andover, Plot 90, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"62,433 "," 487,605 "
9095,"Modern Business Unit, Unit 7 Towergate Business Centre, Coopers Place, Combe Lane, Godalming, GU8 5SY",199950.0,"1,488 ",
9096,"82 Godstow Road, Oxford, OX2 8NY",,"1,716 ",
9097,"Unique Office Premises Over Ground & 1st Floors, The Lodge Moore Place, Portsmouth Road, Esher, KT10 9LN",900000.0,"1,443 ",
9098,"Phase 3, Aston41, College Road North, Aston Clinton, HP22 5EZ",,"13,896 "," 54,639 "
9099,"Blueprint, Plot 35, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"27,580 "," 61,545 "
9100,"20 & 21, North Way, Andover, SP10 5AZ",,"12,216 "," 34,864 "
9101,"Plot 81a, Walworth Business Park, Livingstone Road, Andover, SP10 5LH",,"33,106 ",
9102,"PROMINENT OPEN STORAGE SITE FOR SALE OR TO LET , 343-345 Uxbridge Road, Southall, UB1 3ED",,"3,208 ",
9103,"Symmetry Park, Aston Clinton, College Road North, Aston Clinton, HP22 5EZ",,"55,000 "," 450,000 "
9104,"Industrial Property in Twickenham FOR SALE, Gould Road, Twickenham, TW2 6RT",,,
9105,"Snatch House, Farnham Road, Liss, GU33 6JZ",,"5,537 ",
9106,"Land At Grainger Close, Northolt, UB5 4LF",900000.0,5229 ,
9107,"Unit 2 Station Road, Liphook, GU30 7DS",,"11,970 ",
9108,"Olivers Court, Shepherds Spring Lane, Andover, SP10 1AE",,,
9109,"Development Opportunity, 25 Kings Road, Haslemere, GU27 2QA",425000.0,"1,800 ",
9110,"Freehold NatWest - Former in Teddington , 6 High Street, Teddington, TW11 8EW",1400000.0,"2,160 ",
9111,"Willow Court, Minns Business Park, Oxford, OX2 0JB",8500000.0,"22,526 ",
9112,"Unit 10D2, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",4569950.0,"16,618 ",
9113,"Unit 10D1, Beaver Industrial Park, Brent Road, Southall, UB2 5FB",1965900.0,"6,553 ",
9114,"Unit 10D, Beaver Industrial Park, Brent Road, UB2 5FB",6372300.0,"23,172 ",
9115,"Land / Site For Sale, Weybeck Yard, Walldown Road, Whitehill, Kingsley, GU35 9AB",,"19,000 ",
9116,"Development Site, Passfield Business Centre, Lynchborough Road, Passfield, Liphook, GU30 7SB",,261471 ,
9117,"Cliffords Yard, 1 Long Drive, South Ruislip, HA4 0HG",,"23,512 ",
9118,"Logistics City Andover, Plot 90, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"62,433 "," 487,605 "
9119,"Modern Business Unit, Unit 7 Towergate Business Centre, Coopers Place, Combe Lane, Godalming, GU8 5SY",199950.0,"1,488 ",
9120,"82 Godstow Road, Oxford, OX2 8NY",,"1,716 ",
9121,"Unique Office Premises Over Ground & 1st Floors, The Lodge Moore Place, Portsmouth Road, Esher, KT10 9LN",900000.0,"1,443 ",
9122,"Phase 3, Aston41, College Road North, Aston Clinton, HP22 5EZ",,"13,896 "," 54,639 "
9123,"Blueprint, Plot 35, Walworth Business Park, Walworth Road, Andover, SP10 5LH",,"27,580 "," 61,545 "
9124,"20 & 21, North Way, Andover, SP10 5AZ",,"12,216 "," 34,864 "
9125,"Plot 81a, Walworth Business Park, Livingstone Road, Andover, SP10 5LH",,"33,106 ",
9126,"PROMINENT OPEN STORAGE SITE FOR SALE OR TO LET , 343-345 Uxbridge Road, Southall, UB1 3ED",,"3,208 ",
9127,"Symmetry Park, Aston Clinton, College Road North, Aston Clinton, HP22 5EZ",,"55,000 "," 450,000 "
9128,"Industrial Property in Twickenham FOR SALE, Gould Road, Twickenham, TW2 6RT",,,
9129,"Snatch House, Farnham Road, Liss, GU33 6JZ",,"5,537 ",
9130,"Land At Grainger Close, Northolt, UB5 4LF",900000.0,5229 ,
9131,"Unit 2 Station Road, Liphook, GU30 7DS",,"11,970 ",
9132,"Olivers Court, Shepherds Spring Lane, Andover, SP10 1AE",,,
9133,"Development Opportunity, 25 Kings Road, Haslemere, GU27 2QA",425000.0,"1,800 ",
9134,"Freehold NatWest - Former in Teddington , 6 High Street, Teddington, TW11 8EW",1400000.0,"2,160 ",
9135,"95 Greenford Avenue, Hanwell, W7 1HA",220000.0,545 ,
9136,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9137,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9138,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9139,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9140,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9141,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9142,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9143,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9144,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9145,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9146,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9147,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9148,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9149,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9150,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE",450000.0,"1,238 ",
9151,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9152,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9153,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9154,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9155,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE",450000.0,"1,238 ",
9156,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
9157,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9158,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9159,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9160,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9161,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE",450000.0,"1,238 ",
9162,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
9163,"255 Guildford Road, Effingham, KT245NP",,5229 ,
9164,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9165,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9166,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9167,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9168,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE",450000.0,"1,238 ",
9169,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
9170,"255 Guildford Road, Effingham, KT245NP",,5229 ,
9171,"Unit 11, Oasis Business Park, Eynsham, OX29 4TP",,"2,862 ",
9172,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9173,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9174,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9175,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9176,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE",450000.0,"1,238 ",
9177,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
9178,"255 Guildford Road, Effingham, KT245NP",,5229 ,
9179,"Unit 11, Oasis Business Park, Eynsham, OX29 4TP",,"2,862 ",
9180,"2 High Street, Great Bookham, KT23 4AF",675000.0,"2,416 ",
9181,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9182,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9183,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9184,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9185,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE",450000.0,"1,238 ",
9186,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
9187,"255 Guildford Road, Effingham, KT245NP",,5229 ,
9188,"Unit 11, Oasis Business Park, Eynsham, OX29 4TP",,"2,862 ",
9189,"2 High Street, Great Bookham, KT23 4AF",675000.0,"2,416 ",
9190,"Self Contained Offices with On Site Parking, 72 Station Road, Liss, GU33 7AD",265000.0,"1,595 ",
9191,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9192,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9193,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9194,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9195,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE",450000.0,"1,238 ",
9196,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
9197,"255 Guildford Road, Effingham, KT245NP",,5229 ,
9198,"Unit 11, Oasis Business Park, Eynsham, OX29 4TP",,"2,862 ",
9199,"2 High Street, Great Bookham, KT23 4AF",675000.0,"2,416 ",
9200,"Self Contained Offices with On Site Parking, 72 Station Road, Liss, GU33 7AD",265000.0,"1,595 ",
9201,"Springfield Road, Harrow, Middlesex, HA1 1QF, Harrow, HA1 1QF",800000.0,,
9202,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9203,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9204,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9205,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9206,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE",450000.0,"1,238 ",
9207,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
9208,"255 Guildford Road, Effingham, KT245NP",,5229 ,
9209,"Unit 11, Oasis Business Park, Eynsham, OX29 4TP",,"2,862 ",
9210,"2 High Street, Great Bookham, KT23 4AF",675000.0,"2,416 ",
9211,"Self Contained Offices with On Site Parking, 72 Station Road, Liss, GU33 7AD",265000.0,"1,595 ",
9212,"Springfield Road, Harrow, Middlesex, HA1 1QF, Harrow, HA1 1QF",800000.0,,
9213,"Dorincourt, Oaklawn Road, Leatherhead, KT220BT",,337734 ,
9214,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9215,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9216,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9217,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9218,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE",450000.0,"1,238 ",
9219,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
9220,"255 Guildford Road, Effingham, KT245NP",,5229 ,
9221,"Unit 11, Oasis Business Park, Eynsham, OX29 4TP",,"2,862 ",
9222,"2 High Street, Great Bookham, KT23 4AF",675000.0,"2,416 ",
9223,"Self Contained Offices with On Site Parking, 72 Station Road, Liss, GU33 7AD",265000.0,"1,595 ",
9224,"Springfield Road, Harrow, Middlesex, HA1 1QF, Harrow, HA1 1QF",800000.0,,
9225,"Dorincourt, Oaklawn Road, Leatherhead, KT220BT",,337734 ,
9226,"One Springfield Drive, Springfield Drive, Leatherhead, KT22 7NL",,"3,110 "," 39,695 "
9227,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9228,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9229,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9230,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9231,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE",450000.0,"1,238 ",
9232,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
9233,"255 Guildford Road, Effingham, KT245NP",,5229 ,
9234,"Unit 11, Oasis Business Park, Eynsham, OX29 4TP",,"2,862 ",
9235,"2 High Street, Great Bookham, KT23 4AF",675000.0,"2,416 ",
9236,"Self Contained Offices with On Site Parking, 72 Station Road, Liss, GU33 7AD",265000.0,"1,595 ",
9237,"Springfield Road, Harrow, Middlesex, HA1 1QF, Harrow, HA1 1QF",800000.0,,
9238,"Dorincourt, Oaklawn Road, Leatherhead, KT220BT",,337734 ,
9239,"One Springfield Drive, Springfield Drive, Leatherhead, KT22 7NL",,"3,110 "," 39,695 "
9240,"Unit 18 Smeaton Road, West Portway Industrial Estate, Andover, SP10 3LF",575000.0,"11,579 ",
9241,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9242,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9243,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
9244,"Lock-up Shop, 1 College Hill, Haslemere, GU27 2JH",195000.0,471 ,
9245,"Town Centre New Modern Office, Rear of 14 High Street, Haslemere, GU27 2JE",450000.0,"1,238 ",
9246,"Kings Court, Burrows Lane, Gomshall, GU5 9QE",345800.0,988 ," 5,335 "
9247,"255 Guildford Road, Effingham, KT245NP",,5229 ,
9248,"Unit 11, Oasis Business Park, Eynsham, OX29 4TP",,"2,862 ",
9249,"2 High Street, Great Bookham, KT23 4AF",675000.0,"2,416 ",
9250,"Self Contained Offices with On Site Parking, 72 Station Road, Liss, GU33 7AD",265000.0,"1,595 ",
9251,"Springfield Road, Harrow, Middlesex, HA1 1QF, Harrow, HA1 1QF",800000.0,,
9252,"Dorincourt, Oaklawn Road, Leatherhead, KT220BT",,337734 ,
9253,"One Springfield Drive, Springfield Drive, Leatherhead, KT22 7NL",,"3,110 "," 39,695 "
9254,"Unit 18 Smeaton Road, West Portway Industrial Estate, Andover, SP10 3LF",575000.0,"11,579 ",
9255,"Units 1 - 2, Wadsworth Close, Perivale, UB6 7JF",5600000.0,"33,332 ",
9256,"Substantial Corner Property Investment, 21/23 York Street & Flats 1-5, 31 Garfield Road, Twickenham, TW1 3JZ",1100000.0,"4,162 ",
9257,"Retail Premises, 7 to 9 High Street, Haslemere, GU27 2HG",495000.0,"1,760 ",
9258,"Freehold Retail Property in Haslemere, Surrey , 24 High Street, Haslemere, GU27 2HD",875000.0,"3,071 ",
