,prop_desc,prop_price(£),prop_size(lower) SQ Ft,prop_size(upper) SQ Ft
78,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.0,"1,695 "," 4,645 "
79,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.0,"5,690 ",
80,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,"2,158 "," 4,316 "
81,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.0,"1,113 ",
82,"Lower Ground Floor South, Nell Gwynn House, Drayco, London, SW3 3AX",,"5,068 ",
83,"Mixed Use Commercial Premises With High Ceilings, 341-345 Battersea Park Road, Battersea, SW11 4LS",,"3,950 ",
84,"27 Kelso Place , Kensington, London, W8 5QG",5500000.0,"5,530 ",
85,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.0,"1,632 ",
86,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,"2,906 "," 8,030 "
87,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
88,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
89,"A3/A4 Unit To Let or For Sale, 348 Coldharbour Lane, Brixton, SW9 8QH",550000.0,560 ,
90,"1-3 Michael Road, Chelsea, SW6 2ER",,"5,889 ",
91,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.0,"1,695 "," 4,645 "
92,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",2250000.0,"5,690 ",
93,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",,"2,158 "," 4,316 "
94,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",575000.0,"1,113 ",
95,"Lower Ground Floor South, Nell Gwynn House, Drayco, London, SW3 3AX",,"5,068 ",
96,"Mixed Use Commercial Premises With High Ceilings, 341-345 Battersea Park Road, Battersea, SW11 4LS",,"3,950 ",
97,"27 Kelso Place , Kensington, London, W8 5QG",5500000.0,"5,530 ",
98,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",625000.0,"1,632 ",
99,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",,"2,906 "," 8,030 "
100,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
101,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",295000.0,523 ,
102,"A3/A4 Unit To Let or For Sale, 348 Coldharbour Lane, Brixton, SW9 8QH",550000.0,560 ,
103,"1-3 Michael Road, Chelsea, SW6 2ER",,"5,889 ",
104,"Lillie Road, Fulham SW6, SW6 1TL, Earl's Court, SW6 1TL",1999950.0,"3,891 ",
105,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",3400000.0,"1,695 "," 4,645 "
